Scholarship_Name,Scholarship_Type,Country,Funding_Level,Funding_Details,Application_Mode,Application_Month,Start_Date,End_Date,Quantity,For_Vietnamese,Eligibility,Eligible_Applicants,Field_Restriction,Danh_Sách_Nhóm_Ngành,Eligible_Fields,Required_Degree,Min_Gpa,Bachelor_Ranking_Requirement,Bachelor_Field_Relevance,Experience_Years,Min_Working_Hours,Language_Certificate,Academic_Certificate,Awards_Requirement,Publication_Requirement,Age,Gender,Special_Circumstances,Career_Plan,Other_Requirements,Scholarship_Info,Application_Documents,Timeline,Url
La Trobe Artificial Intelligence Scholarship,Trường,Úc,Bán phần,Giảm 50% học phí toàn khóa,Thường niên,,2025-03-12 20:00:00,2025-10-04 20:00:00,,True,Có,"Dành cho sinh viên quốc tế (ngoài Úc/New Zealand), tự túc tài chính, đã nhận được thư mời nhập học vô điều kiện và đáp ứng yêu cầu GTE. Thư mời nhập học vô điều kiện",Có,Artificial Intelligence,Artificial Intelligence: Master of Artificial Intelligence,Bằng Cử nhân,3.2,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,, Thể hiện qua bài luận cá nhân trong đơn đăng ký học bổng.,,Dành cho sinh viên quốc tế xuất sắc đăng ký khóa học liên quan đến Trí tuệ Nhân tạo (AI) năm 2025.,"Nhận được Thư mời nhập học vô điều kiện.
Hoàn thành đơn đăng ký học bổng trực tuyến (bao gồm bài luận cá nhân).","Kết quả sẽ được công bố sau 2 tuần kể từ hạn chót nộp đơn. 
Ứng viên vòng cuối có thể được yêu cầu phỏng vấn hoặc gửi video.",https://www.latrobe.edu.au/study/scholarships/other/la-trobe-artificial-intelligence-scholarship
Uppsala University – Master’s Scholarships – Uppsala University,Trường,Thụy Điển,Toàn phần,Miễn 100% học phí; không bao gồm sinh hoạt.,Thường niên,1,2025-01-11 00:00:00,,Tùy năm (thường ~50 suất),True,Có,"Dành cho sinh viên không thuộc EU/EEA/Thụy Sĩ và thuộc diện phải đóng học phí; phải chọn Uppsala University là ‘first priority’ trên Universityadmissions.se, đáp ứng đầy đủ yêu cầu nhập học của chương trình và nộp lệ phí xét tuyển đúng hạn. Chỉ áp dụng cho chương trình thạc sĩ học toàn thời gian tại cơ sở ở Uppsala.",,All academic disciplines,"Humanities and Social Sciences: Master's in Global Environmental History, Master's in Political Science; Medicine and Pharmacy: Master's in Biomedicine, Master's in Forensic Science; Science and Technology: Master's in Computer Science, Master's in Sustainable Development",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.uu.se/en/study/masters-studies/scholarships/uppsala-university-scholarships
Karolinska Institutet – Global Master’s Scholarship – Karolinska Institutet,Trường,Thụy Điển,Toàn phần,Miễn 100% học phí; không bao gồm sinh hoạt.,Thường niên,2,,,"Tùy năm (rất ít, chỉ 8-10 suất)",True,Có,"Chỉ cho sinh viên quốc tế thuộc diện đóng học phí, được nhận vào một trong các Global Master’s Programmes của KI; chỉ miễn học phí (không bao gồm sinh hoạt phí). Phải hoàn tất hồ sơ nhập học và nộp phí xét tuyển đúng hạn.",,"Health Sciences, Medical Science, Public Health","Health Sciences: Master's in Bioentrepreneurship, Master's in Global Health, Master's in Health Economics, Policy and Management, Master's in Public Health Sciences",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://education.ki.se/bachelors-masters-studies/scholarships/the-ki-global-masters-scholarships-for-fee-paying-students
Stockholm University – Scholarship Scheme – Stockholm University,Trường,Thụy Điển,Toàn phần,Miễn 100% học phí; không bao gồm sinh hoạt.,Thường niên,3,,,Tùy năm,True,Có,"Dành cho sinh viên quốc tế thuộc diện đóng học phí, được nhận vào chương trình thạc sĩ toàn thời gian của Stockholm University; học bổng là miễn/giảm học phí, không bao gồm sinh hoạt phí. Tuyển chọn dựa trên thành tích học tập.",,All academic disciplines,"Humanities: Master's in English Literature, Master's in Art History; Law: Master's in International Commercial Arbitration Law; Science: Master's in Biochemistry, Master's in Computer Science; Social Sciences: Master's in Globalisation, Environment and Social Change",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.su.se/scholarships
Linköping University – LiU International Scholarship – Linköping University,Trường,Thụy Điển,Bán phần,Giảm 50% học phí; yêu cầu duy trì ≥75% tín chỉ/năm để gia hạn.,Thường niên,3,,,Tùy năm,True,Có,"Dành cho sinh viên thuộc diện đóng học phí (non‑EU/EEA), đã nộp phí xét tuyển, và xếp LiU là nguyện vọng ưu tiên tại Universityadmissions.se; áp dụng cho chương trình thạc sĩ toàn thời gian. Duy trì học bổng cần đáp ứng tiến độ học tập.",,All academic disciplines,"Engineering: MSc Aeronautical Engineering, MSc Computer Science; Environmental Studies: MSc Science for Sustainable Development; Social Sciences: MSc Ethnic and Migration Studies; Arts: MSc Applied Ethics",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://liu.se/en/article/scholarships
Tampere University – Scholarships Programme – Tampere University,Trường,Phần Lan,"Toàn phần, Bán phần, Sinh hoạt phí",100% hoặc 50% học phí; Finland Scholarship: miễn 100% + €5.000 grant năm 1 (non‑EU/EEA).,Thường niên,12,,,Tùy năm,True,Có,Dành cho sinh viên non‑EU/EEA chịu học phí: gồm Finland Scholarship (năm 1) và/hoặc tuition fee scholarship. Phải được nhận vào chương trình thạc sĩ tiếng Anh. Gia hạn/duy trì phụ thuộc khối lượng tín chỉ và thành tích theo quy định của trường.,,All academic disciplines,"Technology: MSc Automation Engineering, MSc Photonics Technologies; Social Sciences: MSc Public and Global Health, MSc Peace, Mediation and Conflict Research; Education: MSc Sustainable Digital Life",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/financial-matters/tuition-fees-scholarships
Aalto University – Scholarship Programme – Aalto University,Trường,Phần Lan,"Toàn phần, Bán phần",Category A: 100% học phí; Category B: 50% học phí.,Thường niên,12,,,Tùy năm,True,Có,"Miễn/giảm học phí 50–100% cho ứng viên non‑EU/EEA chịu học phí, lựa chọn dựa trên thành tích; áp dụng cho người trúng tuyển kỳ tuyển sinh (không thể xin sau khi đã nhập học). Duy trì học bổng yêu cầu hoàn thành đủ tín chỉ/năm theo quy định.",,"Art, Design and Architecture, Business, Technology, Science","Art, Design and Architecture: Master's in Architecture, Master's in Collaborative and Industrial Design; Business: Master's in Business Analytics, Master's in Finance; Technology: Master's in Machine Learning, Data Science and Artificial Intelligence, Master's in Chemical Engineering",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees
University of Helsinki – Scholarship Programme – University of Helsinki,Trường,Phần Lan,"Toàn phần, Bán phần, Sinh hoạt phí",UH Scholarship: miễn 100% hoặc 50% học phí. Finland Scholarship: miễn 100% + €5.000 grant năm 1.,Thường niên,1,,,Tùy năm,True,Có,"Dành cho sinh viên non‑EU/EEA chịu học phí, xét cùng thời điểm ra quyết định trúng tuyển; chỉ là miễn/giảm học phí (không tự động bao gồm sinh hoạt phí trừ gói đặc biệt). Không thể xin nâng mức trong quá trình học.",,All academic disciplines,"Humanities: Master's in European and Nordic Studies; Sciences: Master's in Data Science, Master's in Particle Physics; Social Sciences: Master's in Global Politics and Communication; Life Sciences: Master's in Genetics and Molecular Biosciences",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/tuition-fees-and-scholarship-programme
NL Scholarship (Holland Scholarship),Chính phủ,Hà Lan,Khoản phí quy định,€5.000 cho năm đầu; không bao gồm học phí/sinh hoạt.,Thường niên,3,,,"Tùy năm (phân bổ theo từng trường, toàn NL ~1.500 suất)",True,Có,Chỉ dành cho sinh viên non‑EEA; nộp vào chương trình thạc sĩ toàn thời gian tại trường tham gia chương trình; chưa từng có bằng cấp từ cơ sở giáo dục tại Hà Lan; học bổng chỉ cấp cho năm học đầu tiên.,,All academic disciplines,Varies by university: Most Bachelor's and Master's programmes at participating Dutch universities. Examples: Delft University of Technology: MSc Aerospace Engineering; Wageningen University: MSc Environmental Sciences; Utrecht University: MSc International Relations,Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.studyinnl.org/finances/nl-scholarship
Leiden University Excellence Scholarship (LExS) – Leiden University,Trường,Hà Lan,Khoản phí quy định,Một trong 4 mức: €10.000; €15.000; €19.000; hoặc miễn toàn bộ học phí (không gồm sinh hoạt).,Thường niên,10,,,"Tùy năm (rất cạnh tranh, vài chục suất)",True,Có,"Chỉ dành cho sinh viên non‑EEA/non‑EFTA (trừ các chương trình LLM Advanced và MSc International Relations & Diplomacy mở cho mọi quốc tịch); không áp dụng cho các chương trình thuộc Humanities, LLM (non‑advanced) và MSc tại Leiden Law School; chỉ cho kỳ nhập học tháng 9; yêu cầu thành tích xuất sắc (tham chiếu top 10% khóa trước). Không được kết hợp với học bổng toàn phần khác.",,All academic disciplines,Archaeology: MA Archaeology; Humanities: MA Asian Studies; Law: LL.M Advanced Studies in International Law; Science: MSc Computer Science; Social and Behavioural Sciences: MSc Political Science,Bằng Cử nhân,3.6,Top 10% cohort trước,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.universiteitleiden.nl/en/scholarships/sea/leiden-university-excellence-scholarship-lexs
Radboud Scholarship Programme (RSP) – Radboud University,Trường,Hà Lan,"Sinh hoạt phí, Chi phí khác","Giảm học phí xuống mức statutory; chi trả BH y tế, phí visa, giấy phép cư trú.",Thường niên,10,,,~30 suất/năm,True,Có,"Chỉ dành cho sinh viên non‑EU/EEA; có (sẽ có) bằng cử nhân ngoài Hà Lan và chưa từng nhận bằng tại Hà Lan (trao đổi ngắn hạn được chấp nhận); được nhận vào chương trình thạc sĩ tiếng Anh toàn thời gian bắt đầu 1/9; đáp ứng điều kiện visa; không áp dụng cho các chương trình Erasmus Mundus hay joint‑degree. Với chương trình 2 năm, phải qua hết môn năm 1 để gia hạn.",,All academic disciplines,Arts and Culture: MA in Arts and Culture; Behavioural Science: MSc in Behavioural Science (Research); Computing Science: MSc in Computing Science; Law: LL.M in European Law,Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.ru.nl/en/education/scholarships/radboud-scholarship-programme
VU Fellowship Programme (VUFP) – Vrije Universiteit Amsterdam,Trường,Hà Lan,Toàn phần,Miễn 100% học phí; có thể kết hợp NL Scholarship để hỗ trợ thêm.,Thường niên,3,,,Tùy năm (~20 suất),True,Có,Chỉ dành cho sinh viên non‑EU/EEA (không có quốc tịch Hà Lan và không đủ điều kiện học phí statutory); yêu cầu GPA tương đương ≥ 8.0/10 theo chuẩn Hà Lan; phải được nhận có điều kiện/không điều kiện vào thạc sĩ tiếng Anh bắt đầu tháng 9; không áp dụng cho kỳ tháng 2 hay các chương trình liên kết mà VU không quản lý tuyển sinh; bằng dùng để xin nhập học không được cấp tại Hà Lan; không cần chương trình dự bị trước khi bắt đầu. Chương trình 2 năm: cần đạt 100% ECTS năm 1 để gia hạn.,,All academic disciplines,"Humanities: MA in Curating Art and Cultures; Sciences: MSc in Artificial Intelligence, MSc in Biomolecular Sciences; Social Sciences: MSc in Political Science, MSc in Culture, Organization and Management",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://vu.nl/en/education/more-about/incoming-master-scholarships
University of Twente Scholarship (UTS) – University of Twente,Trường,Hà Lan,Khoản phí quy định,€3.000–€22.000 mỗi năm; có thể cấp 2 năm (tối đa €44.000) nếu đạt điều kiện.,Thường niên,10,,,~50 suất/năm,True,Có,"Chỉ dành cho sinh viên non‑EU/EEA, không phải cựu sinh viên UT, không thuộc đối tượng đóng học phí statutory; phải được (tạm) nhận vào chương trình thạc sĩ bắt đầu tháng 9 và có student number; đáp ứng IELTS Academic ≥ 6.5 (không kỹ năng nào < 6.0) hoặc TOEFL iBT ≥ 90; không áp dụng cho chương trình của Faculty ITC, chương trình pre‑Master hay sinh viên EU/EEA. Chương trình 2 năm: gia hạn nếu đạt trung bình ≥7/10 và ≥50% ECTS đến cuối Q3 năm 1.",,"Technology, Engineering, Social Sciences","Engineering Technology: MSc Sustainable Energy Technology, MSc Mechanical Engineering; Electrical Engineering, Mathematics and Computer Science: MSc Computer Science, MSc Embedded Systems; Behavioural, Management and Social sciences: MSc Public Administration",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.utwente.nl/en/education/scholarship-finder/university-of-twente-scholarship/
BI Presidential Scholarship – BI Norwegian Business School,Trường,Na Uy,"Toàn phần, Sinh hoạt phí",Miễn 100% học phí 2 năm; có trợ cấp sinh hoạt theo kỳ cho SV quốc tế nếu duy trì thành tích (mức công bố theo năm).,Thường niên,10,,,"Tùy năm (~30-40 suất, trong đó 10-15 cho SV quốc tế)",True,Có,Mở cho ứng viên (Na Uy/quốc tế) có thành tích học thuật xuất sắc vào các chương trình thạc sĩ của BI; xét theo hồ sơ nhập học (GPA/xếp hạng/động lực). Duy trì học bổng đòi hỏi tiến độ học tập và kết quả theo quy định của BI.,,"Business, Finance, Economics, Marketing",Business: MSc in Business; Finance: MSc in Finance; Economics: MSc in Applied Economics; Marketing: MSc in Strategic Marketing Management,Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.bi.no/en/programmes-and-individual-courses/scholarships/bi-presidential-scholarships/
Bocconi Graduate Merit Awards – Bocconi University,Trường,Ý,"Toàn phần, Chỗ ở",Full tuition & fees waiver 2 năm; một số suất có hỗ trợ KTX.,Thường niên,11,,,"Tùy năm (nhiều, phân bổ cho top admit)",True,Có,Tự động xét cho các ứng viên thạc sĩ có hồ sơ thuộc nhóm xuất sắc nhất; không cần nộp đơn riêng; số lượng/giá trị do Hội đồng của trường quyết định. Một số học bổng (International Award) có yêu cầu duy trì tối thiểu 50 tín chỉ đến ngày chốt để được gia hạn năm 2.,,"Economics, Management, Finance, Data Science, Political Science","Economics and Management: MSc in International Management, MSc in Economics and Management of Government and International Organizations; Finance: MSc in Finance; Data Science: MSc in Data Science and Business Analytics",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.unibocconi.eu/graduate-scholarships
Sciences Po – Emile Boutmy Scholarship (Master) – Sciences Po Paris,Trường,Pháp,Khoản phí quy định,€5.000 hoặc €10.000/năm; tối đa 2 năm; áp vào học phí.,Thường niên,9,,,Tùy năm (hàng trăm suất toàn hệ thống),True,Có,"Dành cho ứng viên quốc tế ngoài EEA, lần đầu ghi danh vào chương trình thạc sĩ tại Sciences Po; mức tài trợ dựa trên thành tích và hoàn cảnh tài chính; chỉ áp dụng cho chương trình đủ điều kiện học tại cơ sở của Sciences Po.",,"Social Sciences, Humanities, International Affairs, Public Policy","Public Affairs: Master in Public Policy, Master in European Affairs; International Affairs: Master in International Security, Master in International Development; Economics: Master in Economics; Law: Master in Economic Law",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,"Tiếng Anh, Tiếng Pháp",Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.sciencespo.fr/admissions/en/financial-information/bourses/
Politecnico di Milano – Merit Scholarships (PLATINUM/GOLD/SILVER) – Politecnico di Milano,Trường,Ý,"Toàn phần, Khoản phí quy định",PLATINUM: €8.000/năm (gross) + miễn học phí; GOLD: €5.000/năm + miễn học phí; SILVER: miễn học phí.,Thường niên,9,,,Tùy năm (~100 suất ở các mức),True,Có,"Dành cho tân học viên quốc tế chương trình MSc; xét trên thành tích học tập và đánh giá hồ sơ bởi trường; một số suất kèm miễn học phí toàn phần/1 phần và trợ cấp, có thể yêu cầu duy trì thành tích để tiếp tục nhận.",,"Engineering, Architecture, Design","Engineering: MSc Aeronautical Engineering, MSc Computer Science and Engineering, MSc Management Engineering; Architecture: MSc Architecture and Urban Design; Design: MSc Design & Engineering",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.polimi.it/en/prospective-students/how-much-does-it-cost/scholarships
University of Bologna – Unibo Action 1 & 2 – University of Bologna,Trường,Ý,Toàn phần,Action 1: miễn học phí; Action 2: Study grant €11.000/năm (gross).,Thường niên,1,,,Tùy năm (~80-100 suất),True,Có,"Dành cho ứng viên có/đang có bằng đại học ngoài Italia; Action 1: miễn học phí dựa trên điểm GRE cho chương trình LM (thạc sĩ); Action 2: grant tiền mặt; không yêu cầu quốc tịch cụ thể nhưng chỉ áp dụng cho người chịu học phí ở Unibo; các điều kiện chi tiết (điểm GRE, hạn tuổi nếu có) theo thông báo từng năm.",,All academic disciplines,All fields: All First (Bachelor's) and Second (Master's) Cycle degrees. Examples: Economics and Management: MSc in Business Administration; Engineering: MSc in Artificial Intelligence; Humanities: MSc in Digital Humanities; Sciences: MSc in Physics,Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.unibo.it/en/services-and-opportunities/study-grants-and-subsidies/uniboaction-1-and-uniboaction-2
UCL Global Masters Scholarship – University College London,Trường,Vương quốc Anh,Khoản phí quy định,£15.000 cho 1 năm học (áp dụng học phí/sinh hoạt).,Thường niên,1,,,85 suất/năm,True,Có,Dành cho người có fee status ‘overseas’ và có hoàn cảnh thu nhập thấp; phải nộp hồ sơ đầy đủ vào chương trình thạc sĩ toàn thời gian tại UCL (học tại chỗ; không dành cho distance‑learning). Có thể kết hợp với các nguồn tài trợ khác tùy trần tổng giá trị; số lượng suất giới hạn.,,All academic disciplines,"All fields: Any full-time Master's degree programme at UCL. Examples: Brain Sciences: MSc Dementia: Causes, Treatments and Research; Engineering Sciences: MSc Machine Learning; Laws: LLM (Master of Laws); Arts & Humanities: MA History of Art",Bằng Cử nhân,3.6,,Yêu cầu chặt chẽ,,,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không yêu cầu publication.,,,,,,,,,https://www.ucl.ac.uk/scholarships/global-masters-scholarship
