Scholarship_Name,Scholarship_Organization,Scholarship_Type,Funding_level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Scholarship slots,For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),,,,
DeepMind Scholarship (AI/ML),Google DeepMind (through partner universities),Foundation / Organization,Full/Partial,Tuition and living expenses sponsorship (depending on partner school),Annually,Unknown,Unknown,Unknown,Unknown,yes,By partner school,Limited target group (diversity),AI/CS related,Master related to AI,Bachelor's degree (or equivalent),Unknown,Unknown,Optional,"AI potential, diversity & inclusion",By university,HS at Partner University (nominated),According to partner university,https://deepmind.google/about/education/,"For example: UCL, ITU, etc.",yes,,,,
Hitachi Scholarship Foundation,The Hitachi Global Foundation,Foundation / Organization,Full/Partial,Previous Fellowship Program for Asian Lecturers/Researchers,Not fixed,Unknown,Unknown,Unknown,Unknown,yes,Asia (depending on the program),yes,STEM/Social Sciences (depending on the program),After University,Bachelor's degree (or equivalent),Unknown,Unknown,Teaching experience/NCV,According to the program,Students follow instructions,According to the announcement,https://www.hitachi-zaidan.org/global/,Many old shows (1985–2020); now focusing on awards & networks.,Unknown, ,,,,
Fundación Carolina Scholarship,Fundación Carolina (Spain),Foundation / Organization,Full/Partial,Tuition + living allowance (depending on scholarship),Annually,Unknown,Unknown,Unknown,~700+ places/year,yes,Mainly Ibero-American,Ibero-American nationality,Multidisciplinary,Bachelor,Bachelor's degree (or equivalent),Unknown,Optional,Achievement + motivation,According to the terms,Portal FC,Submit online,https://www.fundacioncarolina.es/,Mainly for Latin America/Ibero.,yes, ,,,,
OPEC Fund/OFID Scholarship,OPEC Fund for International Development (OFID/OPEC Fund),Foundation / Organization,Pause,The program is being restructured and is currently **not accepting applications**,Pause,,,,0,Unknown,International,,Unlimited,Multidisciplinary,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,https://opecfund.org/what-we-offer/special-initiatives/scholarship,The official website announces the temporary suspension of applications.,, ,,,,
East-West Center Graduate Degree Fellowship,East-West Center (Hawai‘i,Government,Fund / Organization,Full/Partial,UH Mānoa tuition + living expenses (depending on package),Annually,Unknown,Unknown,Unknown,Unknown,yes,International (Asia-Pacific),USA),,Bachelor's degree (or equivalent),Multidisciplinary (UH Mānoa),Bachelor,Unknown,Unknown,Optional,"Leadership, participation in the EWC community",According to the terms,HS according to handbook,Submit via Submittable portal,https://eastwestcenter.submittable.com/submit/86c3a9e1-6f03-4ed8-a448-c0334d86ab1c/graduate-degree-fellowship-2026,Link đợt 2026,Có,,
WHO/TDR Postgraduate Scholarship (Implementation Research),TDR – UNICEF/UNDP/World Bank/WHO Special Program,Foundation / Organization,Full,"Tuition, living, research, airfare",Annually,Unknown,Unknown,Unknown,Unknown,yes,LMICs (depending on the host school),Nationality limit according to host school,Tropical Medicine/IR,Implementation Research (public health),Bachelor's degree (or equivalent),Unknown,Unknown,Priority given to LMIC candidates,Achievements + commitment to public health,According to the terms,Students follow the host school,Submit through partner school,https://tdr.who.int/home/our-work/strengthening-research-capacity/postgraduate-training-scheme,For example Wits SPH – South Africa.,yes,,,,
ICTP Master Scholarship (MHPC),ICTP & SISSA (Trieste,Government,Fund / Organization,Full (for applicants from developing countries),Tuition + living expenses + airfare (depending on the class),Annually,Unknown,Unknown,Unknown,Unknown,yes,International (LMIC priority),,STEM/CS,Bachelor's degree (or equivalent),Bachelor,Unknown,Unknown,Optional,Good programming/computer science background,On schedule,HS according to MHPC/ICTP,Submit online,https://www.ictp.it/opportunity/master-high-performance-computing,MHPC Program,Có,,,
, ,, , , , , , , , , , , , ,Bachelor's degree (or equivalent), , , , , , , , , , ,,,,
Chevening Scholarship,UK FCDO & partners,Government,Full,"Tuition, living allowance, airfare, visa fees…",Apply online yourself via Chevening,Q3–Q4,Unknown,Unknown,"~1,500+ global/CY",yes,Citizens of eligible countries,List of Chevening countries,Unlimited,All subjects in the UK,Bachelor's degree (or equivalent),Not stated,Not stated,"≥2 years (≈2,800 hours) of experience","Leadership, networking, career ambition",According to Chevening regulations,Online application + recommendation letter + school offer,Apply on Chevening portal,https://www.chevening.org/scholarships/,Vietnam page has its own section,yes,,,,
Australia Awards Scholarships (AAS),DFAT (Australia),Government,Full,"Tuition, living expenses, insurance, airfare, other support",Self-submission online + national focal point,Q4–Q1,Unknown,Unknown,"1,500+ (2025 global)",yes,Regional Partners,55 partner countries,According to the priority list of each country,All majors at partner Australian universities,Bachelor's degree (or equivalent),Not stated,According to the regulations of each country,Prioritize relevant development experience,"Achievements, leadership potential, commitment to return",According to AAS regulations,Online application + required documents,Submit via OASIS/AAS system,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,Portal overview: australiaawards.com.au,yes,,,,
Fulbright Vietnamese Student Program,US Department of State (PAS – US Embassy Hanoi),Government,Full,"Tuition, airfare, living expenses, insurance, SEVIS fees…",Submit online according to Embassy instructions,Q1,Unknown,According to annual announcement,~20–40 (reference),yes,Vietnamese citizens,Vietnam,Unlimited,Master at American University,Bachelor's degree (or equivalent),Not stated,Not stated,Experience/community service preferred,"Strong academics, English, suitable for VN-US goals",According to Fulbright regulations,Online application + essay + recommendation letter,Submit according to US Embassy Vietnam instructions,https://vn.usembassy.gov/fulbright-vietnamese-student-program/,2026-2027 announcement page with specific milestones,yes,,,,
Manaaki New Zealand Scholarship,New Zealand MFAT (Manaaki),Government,Full,"Tuition, living expenses, insurance, airfare; other support",Self-submit online,Q1–Q2,Unknown,Unknown,Not stated,yes,Citizens of eligible countries,List of MFAT partners,According to NZ sector priorities,"Development, agriculture, climate, health…",Bachelor's degree (or equivalent),Not stated,Not stated,Prioritize leadership skills,"Development impact, water commitment",According to Manaaki regulations,Online profile,Submit on Manaaki portal,https://www.nzscholarships.govt.nz/,See also NZ schools page,yes,,,,
Government of Ireland International Education Scholarships (GOI-IES),HEA (Ireland),Government,"€10,000/year + full tuition waiver for the academic year",Scholarships for NFQ 9–10 (Master/PhD) at Ireland campus,Self-submit online,Q1–Q2,According to annual call,According to annual call,~60 seats/year,yes,Open globally,,Unlimited,All sectors at the Ireland campus are accepted.,Bachelor's degree (or equivalent),Not stated,Not stated,Optional,"Strong academics, motivated, goal-oriented",According to HEA regulations,Online application + school invitation/nomination letter,Submit on HEA portal,https://hea.ie/policy/internationalisation/goi-ies/,Call 2025 outlines timeline,yes,,,,
Study Scholarships – Master Studies for All Academic Disciplines (DAAD),DAAD (Germany),Foundation / Organization,Subsidies + other support,"Monthly stipend, insurance, allowance; tuition assistance possible",Self-submit online,Usually Q3–Q4,According to call,According to call,Not stated,yes,Open globally,,Unlimited,Master at German University,Bachelor's degree (or equivalent),Not stated,Not stated,Optional,Strong academics; foreign languages ​​(German/English),According to DAAD regulations,Online application + required documents,Submit on DAAD portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,PDF call updated annually,yes,,,,
Erasmus Mundus Joint Masters (EMJM),European Commission – Erasmus+,Government,Full/Partial (depending on consortium),"Tuition, living expenses, insurance, transportation… (according to the program)",Submit directly to each EMJM,Q4–Q1,According to the program,According to the program,Not stated,yes,Open globally,,According to each EMJM,Multi-school link master,Bachelor's degree (or equivalent),Not stated,Not stated,Optional,Strong academics; program fit,According to the program,Students follow the instructions of each EMJM,Submit on the consortium's EMJM portal,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,Official overview page,yes,,,,
Orange Knowledge Programme (OKP),Nuffic (Netherlands),Foundation / Organization,Not applicable,Program ends 12/2024; summary page only,—,—,—,—,0,Unknown,Finished,—,—,—,Bachelor's degree (or equivalent),—,—,—,—,—,—,https://www.nuffic.nl/en/news/nuffic-phases-out-most-activities-outside-europe-after-the-orange-knowledge-programme-ends,Individual OKP page: results & summary,, ,,,,
France Excellence Eiffel Scholarship Program,MEAE & Campus France,Government,"Living allowance (Master: ~€1,200/month), health insurance, airfare... (not including tuition)","French schools nominate, do not accept direct applications",French school recommendation,Q4,"October 1, 2025","January 8, 2026",Not stated,yes,International candidates nominated by French institutions,,According to MEAE priority areas,Master/PhD,Bachelor's degree (or equivalent),Not stated,Not stated,Optional,Academic excellence; program fit,According to Eiffel rules,Profile through French school,The school submits to Campus France,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,Timeline 2026 announced,yes,,,,
MBA (National University of Singapore – NUS) Scholarships,NUS Business School (The NUS MBA),University,Partial/Full (depending on scholarship),Merit-based/industry packages (e.g. Derwin Pereira MBA Scholarship…),Self-submission (in parallel with MBA application),Q3–Q1,According to the selection round,Multiple milestones in a cycle,Package limits,yes,Open globally,,Business administration,MBA,Programmatic Exceptions,Not stated,Not stated,Work experience (MBA required),"Academics, leadership, career achievements",According to the program,HS MBA + scholarship essay,Apply on NUS MBA portal,https://mba.nus.edu.sg/admissions-and-funding/,Official NUS MBA Scholarship Page,yes,,,,
Invest Your Talent in Italy (IYT),MAECI (Italy),Government,Tuition exemption/reduction (partner school) + 9-month scholarship + internship,"Italian language course, business internship; only for partner schools",Self-submit online,Q4–Q1,According to call,According to call,Not stated,yes,Citizens of eligible countries,According to the list,According to the program at the partner university,Bachelor,Not stated,Not stated,Optional,Academics; foreign languages; motivation,According to IYT regulations,Online application + required documents,Submit on IYT/MAECI portal,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/progetti-speciali/invest-your-talent-in-italy/,See more guidance from schools (e.g. UniPi),yes, ,,,,
Hungary Government Scholarship (Stipendium Hungaricum),Tempus Public Foundation (Hungary),Government,100% tuition exemption; housing/living support (level by level),Submit via TPF portal + sending partners,Self-submit online + sending partner,Q4–Q1,Usually open 11–12,Usually January 15 (depending on the year),Not stated,yes,According to the list of partners,According to bilateral agreement,All majors at partner schools,Bachelor's/Master's/PhD depending on level,Not stated,Not stated,Optional,Academics; foreign languages,According to TPF regulations,Online application + required documents,Submit on TPF system,https://stipendiumhungaricum.hu/,There is a Study in Hungary “Apply for…” page,yes, ,,,,
Japanese Government (MEXT) Scholarships – Research Students,MEXT (Japan),Government,Full,"Tuition, airfare, stipend; Embassy route & school route",Submit by yourself through the Embassy or school channel,Q2,Usually 4–5,According to the Consulate/Embassy of each country,Not stated,yes,By country,According to the Embassy/School announcement,PhD student/Master/Postgraduate,Bachelor,Not stated,Not stated,Often requires experience/research orientation,"Academics, research, English/Japanese",MEXT program,Profile according to national guidelines,Submit through Embassy or school,https://www.studyinjapan.go.jp/en/smap-stopj-applications-research.html,The local embassy website has its own calendar.,yes, ,,,,
Chinese Government Scholarships (CSC),China Scholarship Council (CSC),Government,Full/Partial,"Tuition free, dormitory/housing, living allowance (level by level)",Submit online (via CSC/school/Embassy),Q4–Q1,By national call,By national call,Not stated,yes,According to national quota,According to call,According to the program at Chinese University,Bachelor's/Master's/PhD depending on level,Not stated,Not stated,Optional,Academics; foreign languages ​​(HSK/IELTS…) by school,By area/progress,Online application + required documents,Submit on CSC portal or through Embassy,https://us.china-embassy.gov.cn/eng/lxfw/studyinchina/chinesegovernmentscholarship/,Look up campuschina.org,yes, ,,,,
Excellence Scholarship & Opportunity Programme (ESOP) – ETH Zurich,ETH Zurich,University,Full,Tuition + living expenses during the Master's program; mentorship,Self-submit (go with Master's application),11,"November 1, 2025","November 30, 2025",Not stated,yes,Open globally,,Master's programs at ETH,Bachelor,Not stated,Not stated,Optional,Academic excellence; research motivation,According to ETH regulations,Master Profile + ESOP Package,Submit on ETH portal,https://ethz.ch/students/en/studies/financial/scholarships/excellencescholarship.html,Timeframe 1–30/11/2025 (MEZ),yes, ,,,,
Knight-Hennessy Scholars (KHS) – Stanford University,Knight-Hennessy Scholars – Stanford,University,Full (up to 3 years),"Tuition, living, study, 1 flight/year",Self-apply online (parallel to Stanford application),Q3–Q4,According to KHS cycle,According to KHS cycle,~80–100+/year,yes,Open globally,,All graduate majors at Stanford,Bachelor,Not stated,Not stated,Optional,"Leadership, global citizenship, academic achievement",According to KHS regulations,KHS online application + Stanford application,Submit on KHS portal and Stanford portal,https://knight-hennessy.stanford.edu/program-overview/funding,The “Funding” page lists the benefits.,yes, ,,,,
Schwarzman Scholars – Tsinghua University,Schwarzman Scholars,Foundation / Organization,Full-time (1 year MGA),"Tuition, housing, living expenses, health insurance, research trips…",Self-submit online,Q1–Q2 & Q3–Q4,By international/Chinese batch,By international/Chinese batch,~150–200/year,yes,Open globally,,Master of Global Affairs (Tsinghua),Bachelor,Not stated,Not stated,Optional,"Leadership, community service, strong academics",According to program regulations,Online application + interview,Submit on the Schwarzman Scholars portal,https://www.schwarzmanscholars.org/,Official homepage,yes, ,,,,
Rhodes Scholarship – Oxford University,Rhodes Trust,Foundation / Organization,Full-time (usually 2 years),Tuition + living expenses; according to constituency (with Global scholarship),Self-filing online by region,Q2–Q3,According to constituency,According to constituency,~100+/year,Yes (via Global track),By country/track,According to constituency,All postgraduate courses at Oxford,Bachelor,Not stated,Not stated,Optional,"Leadership, service, academic excellence",According to the Rhodes statute,Online application + interview,Submit through the Rhodes House system,https://www.rhodeshouse.ox.ac.uk/scholarships/applications/global/,See age criteria/Global eligibility,yes, ,,,,
Gates Cambridge Scholarship,Gates Cambridge Trust,Foundation / Organization,Full,Full tuition and living expenses; ≈80 scholarships/year,Self-submit online (with Cambridge profile),Q3–Q4,By region,By region,~80/year,yes,Open globally,,PG at University of Cambridge,Bachelor,Not stated,Not stated,Optional,"Outstanding intellectual ability, committed to improving the lives of others",According to Trust regulations,Cambridge Profile + Scholarship,Submit through the Graduate Application Portal,https://www.gatescambridge.org/programme/the-scholarship/,2026 milestone opens from September 2025,yes, ,,,,
ADB–Japan Scholarship Program (JSP),Asian Development Bank (Japanese Government funded),Government,Full,"Tuition, living expenses (including housing), books, insurance, airfare; ~135 seats/year",Submit through partner school/ADB,Q4–Q1,According to call,According to call,~135/year (reference),yes,Eligible ADB member country citizens,List of countries + partner schools,Development/Economics/Management/Science & Technology,Bachelor,Not stated,Not stated,Relevant work experience,Good academics; committed to national development,According to ADB regulations,School/ADB Profile,Submit as per ADB/PI guidelines,https://www.adb.org/what-we-do/funds/japan-scholarship-program-jsp,Refer to “Participating Institutions” annually,yes, ,,,,
, ,, , , , , , , , , , , , , , , , , , , , , , , ,,,,
Ireland Fellows Programme – Asia,Department of Foreign Affairs (Ireland),Government,Full,"Tuition, airfare, living expenses, insurance, other support (1 year Master)",Self-submit online,Unknown,Unknown,Unknown,Unknown,yes,Eligible countries,By country list,According to Ireland's priority,Multidisciplinary (Master at HEI Ireland),Bachelor,Unknown,Unknown,Career experience (early/mid-career),"Leadership, commitment to development",According to program regulations,Online application + required documents,Submit on the program portal,https://irishaidfellowships.ie/strands/ireland-fellows-programme-asia.html, ,yes,,,,
McCall MacBain Scholarship - McGill University,McCall MacBain Scholars (McGill),Foundation / Organization,Full,"Tuition, living expenses, leadership development (up to 3 years depending on program)",Self-submit online,6–9,"June 1, 2025","August 20, 2025 (international applicants)",~80–100+/year,yes,Open globally,,Unlimited,All graduate programs at McGill,Bachelor,Unknown,Unknown,Optional,"Leadership, strong academics, community service",According to KMS regulations,Online profile + 2 references,Submit on KMS and McGill portals,https://mccallmacbainscholars.org/apply/, ,yes,,,,
University of Warwick – ASEAN–UK SAGE Women in STEM Scholarship,University of Warwick & British Council,Foundation / Organization,Full,"Tuition, living expenses for up to 12 months, return airfare, IELTS fee, visa, NHS surcharge",Self-submit online,Unknown,Unknown,Closed for 2025,5 seats (2025),yes,Female from ASEAN/Timor-Leste,ASEAN-UK SAGE,STEM,Master at Warwick (STEM),Bachelor,Unknown,Unknown,Optional,"Female, good academics, meet BC requirements",According to BC terms,Online application via Warwick,Submit according to scholarship instructions,https://warwick.ac.uk/study/scholarships-and-bursaries/scholarships/women-in-stem-scholarship/, ,yes,,,,
Paris-Saclay IDEX Master’s Scholarship,University of Paris-Saclay,University,"€10,000/year + up to €900 travel/visa costs",Pay for 10 months (9–6); receive upon arrival in France and enrollment,Self-submission (with Master's documents),Unknown,Unknown,Unknown,Unknown,yes,Open globally,,According to the Master's program,Master at Paris-Saclay,Bachelor,Unknown,Unknown,Optional,Academic excellence,According to IDEX regulations,Master's profile + scholarship package,Submit through the school gate,https://www.universite-paris-saclay.fr/en/admission/bourses-et-aides-financieres/international-masters-scholarships-program-idex, ,yes,,,,
SI Scholarship for Global Professionals (SISGP),Swedish Institute (SI),Government,Full,"Free tuition, living expenses, insurance, NFGP network",Self-submit online,Q1,According to call,According to call,Unknown,yes,Citizens of countries on the list,33 countries,Unlimited,Masternya at Swedish University,Bachelor,Unknown,Unknown,Professional experience,"Leadership, social impact",According to SI regulations,Online profile + documents,Submit on SI portal,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/, ,yes,,,,
Pioneering Women in STEM (Swedish Institute),Swedish Institute (SI),Government,Full,Tuition and living expenses (fully-funded) for women in STEM,Self-submit online,Q4–Q1,According to call,According to call,Unknown,yes,Female; target country Asia/Africa,According to SI list,STEM,Master at Swedish University,Bachelor,Unknown,Unknown,Optional,"Female leadership, potential for innovation",According to SI regulations,Online profile,Submit on SI portal,https://si.se/en/apply/scholarships/pioneeringwomeninstem/, ,yes,,,,
IKEA and Södra Scholarship (The Bridge – Linnaeus University),Linnaeus University (in cooperation with IKEA & Södra),University,Partial/Full (depending on the year),"4 places/year for Innovation through Business, Engineering and Design (3 places, 1 each discipline) & Forestry for Green Sustainable Development (1 place)",Self-submit online,2,Beginning of February every year,As per email instructions (early 2/2025),4 seats/year,yes,Open globally,,Limited to the above 2 programs,Master at LNU in designated field,Bachelor,Unknown,Unknown,Optional,Academics + motivation,According to LNU regulations,Online application via email link,Submit according to LNU instructions,https://lnu.se/en/education/study-at-linnaeus-university/scholarships/the-ikea-and-sodra-scholarship/, ,yes,,,,
Brunel University – British Council Women in STEM Scholarship,Brunel University London & British Council,Foundation / Organization,Full,"Tuition, living expenses (up to 12 months), airfare, IELTS, visa, NHS surcharge",Self-submit online,Q4–Q1,According to call,According to call,5 servings (VN/MY/MM/PH),yes,Female from designated countries,According to BC list,STEM,Full-time Master at Brunel,Bachelor,Unknown,Unknown,Optional,"Female, academic ability, commitment",On schedule,Online students,Submit via Brunel,https://www.brunel.ac.uk/scholarships/british-council-scholarships-for-women-in-stem-202526, ,yes,,,,
Hornby Trust Scholarship (University of Exeter),A.S. Hornby Educational Trust,Foundation / Organization,Full,MEd TESOL program tuition fees at Exeter + support,Self-submit online,Q4–Q1,According to call,According to call,Unknown,yes,International ELT Expert,ELT professionals,English language/teaching,MEd TESOL at Exeter,Bachelor,Unknown,Unknown,ELT Experience,Teaching achievements/potential,According to Hornby regulations,Online student + interview,Pay via Trust/Exeter,https://www.hornby-trust.org.uk/ma-tesol-scholarships/, ,yes,,,,
Japanese Grant Aid for Human Resource Development Scholarship (JDS),Government of Japan (JICA/JDS),Government,Full,"Tuition, airfare, stipend, other allowances",Self-submission (through national channels),Q2–Q3,According to national announcement,According to national announcement,Unknown,yes,Civil servants/public employees according to national criteria,By country/priority,Priority development industry,Master/PhD at Japanese University,Bachelor,Unknown,Unknown,Public service experience,"Leadership capacity, commitment to development",Under JDS,Profile according to national guidelines,Submit via national JDS portal,https://jds-scholarship.org/country/vietnam/index.html, ,yes,,,,
MacSon Entrance Scholarship for International Students (University of Guelph),University of Guelph,University,CAD 17,500 (x2 prize; paid in 3 semesters),"2 awards x CAD 17,500; deadline August 15; according to the UofG award system",Self-submit online,Q3,Unknown,August 15th every year,2 prizes/year,yes,Open globally,,Unlimited,Any graduate program (UofG),Bachelor,Unknown,Unknown,Optional,"Academics, research proposals, letters of recommendation",According to UofG regulations,College/Dept Form + Profile,Submit through the UofG system,https://www.uoguelph.ca/registrar/studentfinance/apps/grawards?id=E8020, ,Có,,,
VLIR-UOS ICP Connect Scholarships,VLIR-UOS (Flanders,Government,Fund / Organization,Full,"Tuition, living expenses, insurance, travel (depending on ICP program)",Submit directly to ICP,Q4–Q1,By ICP,By ICP,Unknown,yes,Nationality in the list of 29 countries,According to the ICP list,According to the ICP program,Bachelor's degree (or equivalent),Bachelor,Unknown,Unknown,Relevant experience (depending on ICP),"Academics, commitment to development",According to ICP,HS according to ICP guidelines,Submit directly to ICP,https://www.vliruos.be/get-funded/study-scholarships, ,Có,,,
UNIL Master’s Grants – University of Lausanne (bản 1),University of Lausanne (UNIL),University,"CHF 1,600/month (10 months/year)",During the program duration (1.5–2 years); number ~10/year,Self-submit online,Q3–Q4,According to call,November 1st every year,~10/year,yes,Open globally,,According to the accepted program,Master at UNIL,Bachelor,Unknown,Unknown,Optional,Academic excellence; foreign languages ​​as per program,According to UNIL regulations,Online profile,Submit via UNIL form,https://www.scholars4dev.com/6578/switzerland-university-lausanne-scholarships-for-international-students/,UNIL page blocked in robots.txt; use saved official summary,yes,,,,
Clarendon Fund Scholarships - University of Oxford,University of Oxford (Clarendon),University,Full,Free tuition and living expenses (number ~200/year),Automatically review the same profile,Unknown,According to Oxford circle,According to Oxford circle,~200/year,yes,Open globally,,Unlimited,All postgraduate courses at Oxford,Bachelor,Unknown,Unknown,Optional,Academic excellence,According to Clarendon regulations,Oxford Records,Automatically considered,https://www.ox.ac.uk/clarendon, ,yes,,,,
International Cultural Service Program (ICSP) Scholarship - University of Oregon,University of Oregon,University,Tuition reduction (about 50%),In return for the obligation to present community culture (service requirement),Self-submit online,Q4–Q1,According to call,According to call,Unknown,yes,Open globally,,Unlimited,UG/PG at UOregon,Bachelor (entering Master/UG),Unknown,Unknown,Optional,Financial need + achievement + presentation ability,On schedule,Online student + interview,Submit on ISSS UO portal,https://isss.uoregon.edu/icsp, ,yes,,,,
Commonwealth Master’s Scholarships (Developing Commonwealth),Commonwealth Scholarship Commission (UK),Government,Full,"Tuition, living expenses, airfare…",Nomination through Nominating Agency or UK University,Q3–Q4,According to call,According to call,Unknown,yes,Commonwealth LMIC Citizens,According to CSC list,Unlimited,Full-time Master in UK,Bachelor,Unknown,Unknown,Experience/development preferred,Academic ability + development impact,According to CSC,CSC online application + nomination,Submit via CSC,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/, ,yes,,,,
University of Geneva Excellence Masters Fellowships,University of Geneva – Faculty of Science,University,Part/Full (depending on partner fund),Fellowship for MSc in Science at UNIGE,Self-submit online,Q1,Unknown,"February 28, 2025",Unknown,yes,Open globally,,Natural sciences,Master of Science at Faculty of Science,Bachelor,Unknown,Unknown,Optional,"Academic excellence, research motivation",According to UNIGE regulations,Online profile + documents,Submit on UNIGE portal,https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships, ,yes,,,,
Swiss Government Excellence Scholarships (Art scholarships – Master’s degree),State Secretariat for Education,Government,Switzerland,Government,Whole/Part (depending on country),For the arts: study the **first Master of Arts** at a Swiss art school/conservatory,Self-submission (through the Swiss Embassy in the home country),Q3,According to each country,According to each country,Unknown,yes,Depends on the list of eligible countries,According to the SERI list,Art (Art/Fine Arts/Music),First Master of Arts,Bachelor,Unknown,Unknown,Optional,"Artistic profile, achievements",According to SERI,HS through Embassy + nomination,Submit according to SERI instructions,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,,Có,,
EPFL Excellence Fellowship,École Polytechnique Fédérale de Lausanne (EPFL),University,"CHF 10,000/semester (maximum 4 semesters) + accommodation support (non-EPFL applicants)",Tuition not included; additional support as per FAQ,Self-submission (with Master's documents),Q4–Q1,According to EPFL cycle,According to EPFL cycle,Unknown,yes,Open globally,,According to the EPFL Master program,Master at EPFL,Bachelor,Unknown,Unknown,Optional,Academic excellence,According to EPFL regulations,Master's profile + scholarship,Submit via EPFL portal,https://www.epfl.ch/education/master/master-excellence-fellowships/, ,yes,,,,
ARES Scholarships in Belgium for Developing Countries (ARES),ARES (Wallonia-Brussels Federation),Government,Full,Advanced Master/Internship 2–6 months; package fee by call,Self-submit online,Q3–Q4,According to call,According to call,Unknown,yes,Partner countries,According to the ARES list,According to the ARES program,Advanced Master/Training,Bachelor,Unknown,Unknown,Experience (depending on the program),Academics + commitment to development,According to ARES,Online profile,Submit via ARES portal,https://www.ares-ac.be/en, ,yes,,,,
UNIL Master’s Grants in Switzerland for Foreign Students - University of Lausanne (bản 2),University of Lausanne (UNIL),University,"CHF 1,600/month (10 months/year)",As per “UNIL Master’s Grants – Version 1”,Self-submit online,Q3–Q4,According to call,November 1st every year,~10/year,yes,Open globally,,According to the accepted program,Master at UNIL,Bachelor,Unknown,Unknown,Optional,Academic excellence; foreign languages ​​as per program,According to UNIL regulations,Online profile,Submit via UNIL form,https://www.scholars4dev.com/6578/switzerland-university-lausanne-scholarships-for-international-students/,Duplicate content because you listed it twice,yes,,,,
, ,, , , , , , , , , , , , , , , , , , , , , , , ,,,,
, ,, , , , , , , , , , , , , , , , , , , , , , , ,,,,
Eric Bleumink Scholarships at University of Groningen,University of Groningen,University,Full tuition + airfare + living expenses + books + insurance,"Funding for a 1–2 year Master's program; applicants do not apply themselves, nominated by the school",Apply for admission to the MSc program and be nominated by the school,Unknown,Unknown,Unknown,Unknown,yes,International applicants,Not stated,,Not stated,Bachelor's degree or equivalent,Not stated,Not stated,Priority given to excellent academic achievements,Nominated by the school based on academic record,According to the progress/conditions of the fund,Letter of admission,transcript,passport...,Nominated by the school after applying for admission to MSc,https://www.rug.nl/education/scholarships/eric-bleumink-fellowship?lang=en,Gói do quỹ EBF quản lý; không nộp trực tiếp.,Có,,
Master’s in Education for Global Futures – Scholarship route (University of Oulu),University of Oulu,University,Tuition exemption/reduction (tuition scholarships),Competitive tuition scholarships for international students in the EdGlo program,Online via the Apply for Master’s portal,Oulu not stated,Unknown,Unknown,Unknown,yes,International applicants,Not stated,,Education (EdGlo),Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic Achievement & Motivation,According to the school's scholarship regulations,Admission form,motivational essay...,Submit with application for admission,https://www.oulu.fi/en/apply/how-apply/university-oulu-tuition-fees-and-scholarships-for-international-applicants,Apply for EdGlo,Chưa rõ,,,
Master’s in Learning,Education and Technology – Scholarship route (University of Oulu),University,School,Tuition exemption/reduction (tuition scholarships),Competitive tuition scholarships for LET,One stop shop for admission documents,Unknown,Unknown,Unknown,Unknown,yes,International applicants,Not stated,,Education/Educational Information Technology (LET),Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic Achievement & Motivation,According to the school's scholarship regulations,Admission form + standard documents,Through the school gate,https://www.oulu.fi/en/apply/masters-learning-education-and-technology,Apply for LET,Chưa rõ,,,
Master Mind Scholarship (Flanders),Flemish Ministry of Education & Training,Government,"€10,020/year + tuition fee waiver",Scholarships for Masters in Flanders/Brussels; Nominating Schools,Nominated by the school and submitted on the system,Usually announced at the beginning of the year,Unknown,Unknown,~30 seats/year,yes,International applicants,Prioritize a few countries,many industries,Master's Programs at Universities of Flanders,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Excellent academic record,According to the program regulations,Single,transcript,passport...,According to individual school guidelines/Study in Flanders,https://www.studyinflanders.be/scholarships/master-mind-scholarships,Nhiều ĐH ở Flanders tham gia,Có,,
